Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Tell it like it is	Aaron neville		Lovers Vol 1						Lovers Rock	2850651	177			3		1976	24/07/2011, 21:13	17/09/2018, 22:22	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Aaron neville:Lovers Vol 1:03 Tell it like it is.mp3
Forward On To Zion	Abbasynians		Lovers Vol 1						Lovers Rock	3677249	228			3		1982	16/01/2011, 00:48	17/09/2018, 22:24	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Abyssinians:Lovers Vol 1:03 Forward On To Zion.mp3
Sweet Feelings	Abbasynians		Lovers Vol 1						Lovers Rock	2789952	173			25		1976	17/09/2018, 22:24	17/09/2018, 22:23	128	44100		MPEG audio file		                            			1	17/09/2018, 22:23		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Abbasynians:Lovers Vol 1:25 Sweet Feelings.mp3
This Is Reggae Music	Administrators		Lovers Vol 1						Lovers Rock	5335084	331			3		1986	16/01/2011, 00:48	17/09/2018, 22:25	128	44100		MPEG audio file					1	17/09/2018, 22:25		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Administrators:Lovers Vol 1:03 This Is Reggae Music.mp3
Move Your Sexy Body	Administrators		Lovers Vol 1						Lovers Rock	5117369	317						16/01/2011, 00:48	17/09/2018, 22:24	128	44100		MPEG audio file					2	17/09/2018, 22:26		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Administrators:Lovers Vol 1:Move Your Sexy Body.mp3
Princess	Albians		Lovers Vol 1						Lovers Rock	4608755	286			4		1979	17/09/2018, 22:25	17/09/2018, 22:25	128	44100		MPEG audio file					1	26/09/2019, 00:22		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Albians:Lovers Vol 1:04 Princess.mp3
Body Language	Anthony David								Lovers Rock	8675247	270						17/09/2018, 22:32	17/09/2018, 22:30	256	48000		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Anthony David:Unknown Album:Body Language.mp3
Everybody	Anthony Hamilton	Anthony Hamilton/James Poyser	Lovers Vol 1						Lovers Rock	5948742	247			8		2005	16/01/2011, 00:48	17/09/2018, 22:30	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Anthony Hamilton:Lovers Vol 1:08 Everybody.mp3
Special Guest	Anthony Rich		Lovers Vol 1						Lovers Rock	3337072	207			4		1990	17/09/2018, 23:45	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Anthony Rich:Lovers Vol 1:04 Special Guest.mp3
In Love	Arema								Lovers Rock	4330143	270			10			17/09/2018, 22:33	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Arema:Unknown Album:10 In Love.mp3
Back 2 Africa	Aswad		Lovers Vol 1						Lovers Rock	2468135	154			8		1976	17/09/2018, 22:34	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Aswad:Lovers Vol 1:08 Back 2 Africa.mp3
Hooked On You	Aswad		Lovers Vol 1						Lovers Rock	3830264	239						16/01/2011, 00:48	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Aswad:Lovers Vol 1:Hooked On You.mp3
Roots Rocking 1983	Aswad	Brinsley Forde/Marvin Gaye/Tony Robinson							Lovers Rock	3401856	211			2		1983	17/09/2018, 22:36	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Unknown Album:02 Roots Rocking 1983.mp3
I Need Lyour Ove	Aswad								Lovers Rock	4093160	255						17/09/2018, 22:31	17/09/2018, 22:30	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Aswad:Unknown Album:I Need Lyour Ove.mp3
Its Not Our Wish	Aswad								Lovers Rock	30159444	170						16/04/2004, 18:38	17/09/2018, 22:38	1411	44100		WAV audio file			1	17/09/2018, 22:42				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Aswad:Unknown Album:Its Not Our Wish.wav
