,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
007NH2yex3ihVts4FHr2tW,855,Full a Gyal,Jahvillani,Full a Gyal,2019-05-15,True,007NH2yex3ihVts4FHr2tW,spotify:track:007NH2yex3ihVts4FHr2tW,dancehall,0.869,0.858,5,-5.552,1,0.34,0.685,0.0,0.0724,0.847,100.08,audio_features,007NH2yex3ihVts4FHr2tW,spotify:track:007NH2yex3ihVts4FHr2tW,https://api.spotify.com/v1/tracks/007NH2yex3ihVts4FHr2tW,https://api.spotify.com/v1/audio-analysis/007NH2yex3ihVts4FHr2tW,183327,4
00rTSPtRF2LsHI39WCXRjN,1061,Phone a Ring,Sikka Rymes,Phone a Ring,2019-11-29,True,00rTSPtRF2LsHI39WCXRjN,spotify:track:00rTSPtRF2LsHI39WCXRjN,dancehall,0.894,0.728,10,-4.238,0,0.282,0.574,2.9e-06,0.102,0.857,120.142,audio_features,00rTSPtRF2LsHI39WCXRjN,spotify:track:00rTSPtRF2LsHI39WCXRjN,https://api.spotify.com/v1/tracks/00rTSPtRF2LsHI39WCXRjN,https://api.spotify.com/v1/audio-analysis/00rTSPtRF2LsHI39WCXRjN,148036,4
00yQl6VP2oHUqnrhAXEKoW,166,Lifestyle,Kranium,Rumors,2015-10-16,True,00yQl6VP2oHUqnrhAXEKoW,spotify:track:00yQl6VP2oHUqnrhAXEKoW,dancehall,0.439,0.712,3,-5.162,0,0.0561,0.00334,0.0,0.0819,0.528,119.308,audio_features,00yQl6VP2oHUqnrhAXEKoW,spotify:track:00yQl6VP2oHUqnrhAXEKoW,https://api.spotify.com/v1/tracks/00yQl6VP2oHUqnrhAXEKoW,https://api.spotify.com/v1/audio-analysis/00yQl6VP2oHUqnrhAXEKoW,181320,5
01NRErhQZIau5ebhdXMhGs,95,Dom Pérignon,Aidonia,Dom Pérignon,2018-12-20,True,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,dancehall,0.8,0.848,1,-6.937,1,0.23,0.222,0.0,0.257,0.537,105.075,audio_features,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/tracks/01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/audio-analysis/01NRErhQZIau5ebhdXMhGs,141714,4
01fyhPl5A0hn1ljNPtE0ev,1514,Gyal You A Party Animal,Charly Black,Jambe-An Riddim,2015-04-14,False,01fyhPl5A0hn1ljNPtE0ev,spotify:track:01fyhPl5A0hn1ljNPtE0ev,dancehall,0.591,0.843,0,-5.196,1,0.148,0.0301,0.0,0.297,0.837,134.327,audio_features,01fyhPl5A0hn1ljNPtE0ev,spotify:track:01fyhPl5A0hn1ljNPtE0ev,https://api.spotify.com/v1/tracks/01fyhPl5A0hn1ljNPtE0ev,https://api.spotify.com/v1/audio-analysis/01fyhPl5A0hn1ljNPtE0ev,214455,5
01owdgr3FdJGeRQAqVRayo,1392,Got It Like That,Tifa,Center Forward Riddim,2013-07-30,False,01owdgr3FdJGeRQAqVRayo,spotify:track:01owdgr3FdJGeRQAqVRayo,dancehall,0.64,0.831,11,-5.483,0,0.454,0.147,0.0,0.0408,0.884,101.548,audio_features,01owdgr3FdJGeRQAqVRayo,spotify:track:01owdgr3FdJGeRQAqVRayo,https://api.spotify.com/v1/tracks/01owdgr3FdJGeRQAqVRayo,https://api.spotify.com/v1/audio-analysis/01owdgr3FdJGeRQAqVRayo,209929,4
01wHqcheZntgSZBFRfRQDZ,413,Flash Back,Alkaline,Flash Back,2019-07-19,False,01wHqcheZntgSZBFRfRQDZ,spotify:track:01wHqcheZntgSZBFRfRQDZ,dancehall,0.759,0.755,5,-4.171,0,0.128,0.491,0.0,0.248,0.443,112.928,audio_features,01wHqcheZntgSZBFRfRQDZ,spotify:track:01wHqcheZntgSZBFRfRQDZ,https://api.spotify.com/v1/tracks/01wHqcheZntgSZBFRfRQDZ,https://api.spotify.com/v1/audio-analysis/01wHqcheZntgSZBFRfRQDZ,148056,5
01wRcAPcvjkHqEIm73JRia,456,Leave (Kite Sa),Teddyson John,Leave (Kite Sa),2019-05-28,False,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,dancehall,0.84,0.932,10,-3.219,0,0.0593,0.0252,2.92e-05,0.0491,0.932,110.034,audio_features,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/tracks/01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/audio-analysis/01wRcAPcvjkHqEIm73JRia,262500,4
02B46uoCc2g8bzCZAcYmkl,101,Ben Ova,Mavado,Ben Ova - Single,2014-08-05,False,02B46uoCc2g8bzCZAcYmkl,spotify:track:02B46uoCc2g8bzCZAcYmkl,dancehall,0.68,0.723,11,-7.531,1,0.327,0.231,0.0,0.135,0.545,90.054,audio_features,02B46uoCc2g8bzCZAcYmkl,spotify:track:02B46uoCc2g8bzCZAcYmkl,https://api.spotify.com/v1/tracks/02B46uoCc2g8bzCZAcYmkl,https://api.spotify.com/v1/audio-analysis/02B46uoCc2g8bzCZAcYmkl,186667,4
02fMtBC6WEJ4cNQ2saG7jj,1471,Mi Nuh Hear Dem,Elephant Man,30 Dancehall Smashes,2015-05-14,True,02fMtBC6WEJ4cNQ2saG7jj,spotify:track:02fMtBC6WEJ4cNQ2saG7jj,dancehall,0.576,0.602,6,-10.522,0,0.468,0.119,0.0,0.0932,0.765,92.364,audio_features,02fMtBC6WEJ4cNQ2saG7jj,spotify:track:02fMtBC6WEJ4cNQ2saG7jj,https://api.spotify.com/v1/tracks/02fMtBC6WEJ4cNQ2saG7jj,https://api.spotify.com/v1/audio-analysis/02fMtBC6WEJ4cNQ2saG7jj,177000,4
