,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,3VeLkwO4wiW4nYb9vsj9sy,Tuff,spotify:track:3VeLkwO4wiW4nYb9vsj9sy,Tuff,0.791,0.762,4,-4.425,0,0.312,0.113,2.59e-06,0.123,0.837,187.826,audio_features,3VeLkwO4wiW4nYb9vsj9sy,spotify:track:3VeLkwO4wiW4nYb9vsj9sy,https://api.spotify.com/v1/tracks/3VeLkwO4wiW4nYb9vsj9sy,https://api.spotify.com/v1/audio-analysis/3VeLkwO4wiW4nYb9vsj9sy,166870,4
1,7qwwmll93bf8EAucuqyHCR,3ZN,spotify:track:7qwwmll93bf8EAucuqyHCR,3ZN,0.892,0.778,8,-3.542,1,0.264,0.0355,0.0,0.179,0.752,101.844,audio_features,7qwwmll93bf8EAucuqyHCR,spotify:track:7qwwmll93bf8EAucuqyHCR,https://api.spotify.com/v1/tracks/7qwwmll93bf8EAucuqyHCR,https://api.spotify.com/v1/audio-analysis/7qwwmll93bf8EAucuqyHCR,162220,4
2,6kmKwu4FLZO5Mq6w6LTsDy,One Family,spotify:track:6kmKwu4FLZO5Mq6w6LTsDy,One Family,0.573,0.706,0,-4.684,1,0.342,0.51,0.0,0.222,0.792,134.864,audio_features,6kmKwu4FLZO5Mq6w6LTsDy,spotify:track:6kmKwu4FLZO5Mq6w6LTsDy,https://api.spotify.com/v1/tracks/6kmKwu4FLZO5Mq6w6LTsDy,https://api.spotify.com/v1/audio-analysis/6kmKwu4FLZO5Mq6w6LTsDy,207400,5
3,49l6o4SWLy8BV2KqmWQm8p,Bless Me (feat. Damage Musiq),spotify:track:49l6o4SWLy8BV2KqmWQm8p,Bless Me (feat. Damage Musiq),0.556,0.462,7,-8.408,1,0.276,0.156,0.0,0.0747,0.231,108.136,audio_features,49l6o4SWLy8BV2KqmWQm8p,spotify:track:49l6o4SWLy8BV2KqmWQm8p,https://api.spotify.com/v1/tracks/49l6o4SWLy8BV2KqmWQm8p,https://api.spotify.com/v1/audio-analysis/49l6o4SWLy8BV2KqmWQm8p,200727,4
4,7Ib4HxrkMe8iHweXxMsev5,Open The Door,spotify:track:7Ib4HxrkMe8iHweXxMsev5,Open The Door,0.735,0.846,8,-4.843,1,0.208,0.0783,0.0,0.139,0.478,99.938,audio_features,7Ib4HxrkMe8iHweXxMsev5,spotify:track:7Ib4HxrkMe8iHweXxMsev5,https://api.spotify.com/v1/tracks/7Ib4HxrkMe8iHweXxMsev5,https://api.spotify.com/v1/audio-analysis/7Ib4HxrkMe8iHweXxMsev5,223600,4
5,3x1MtkFUatkrMWvs0vyR7r,Designer,spotify:track:3x1MtkFUatkrMWvs0vyR7r,Designer,0.709,0.918,2,-3.787,1,0.0484,0.137,0.0,0.107,0.46,105.098,audio_features,3x1MtkFUatkrMWvs0vyR7r,spotify:track:3x1MtkFUatkrMWvs0vyR7r,https://api.spotify.com/v1/tracks/3x1MtkFUatkrMWvs0vyR7r,https://api.spotify.com/v1/audio-analysis/3x1MtkFUatkrMWvs0vyR7r,210286,4
6,0cTjEOqFSsgxGgomBIfgXU,Gone Sleep,spotify:track:0cTjEOqFSsgxGgomBIfgXU,Gone Sleep,0.736,0.689,5,-3.265,1,0.4,0.353,0.0,0.0886,0.886,90.14,audio_features,0cTjEOqFSsgxGgomBIfgXU,spotify:track:0cTjEOqFSsgxGgomBIfgXU,https://api.spotify.com/v1/tracks/0cTjEOqFSsgxGgomBIfgXU,https://api.spotify.com/v1/audio-analysis/0cTjEOqFSsgxGgomBIfgXU,158342,4
7,2rpPqUES5jU5MMszeCAYjM,The Dream (feat. Chronic Law),spotify:track:2rpPqUES5jU5MMszeCAYjM,The Dream (feat. Chronic Law),0.6,0.754,6,-4.777,0,0.315,0.39,0.0,0.174,0.339,71.984,audio_features,2rpPqUES5jU5MMszeCAYjM,spotify:track:2rpPqUES5jU5MMszeCAYjM,https://api.spotify.com/v1/tracks/2rpPqUES5jU5MMszeCAYjM,https://api.spotify.com/v1/audio-analysis/2rpPqUES5jU5MMszeCAYjM,186946,3
8,67JIWxk9tn7CR2QUQtveWM,Dem Nuh Like We,spotify:track:67JIWxk9tn7CR2QUQtveWM,Mobay Son,0.626,0.56,5,-6.554,0,0.137,0.267,0.0,0.153,0.571,122.757,audio_features,67JIWxk9tn7CR2QUQtveWM,spotify:track:67JIWxk9tn7CR2QUQtveWM,https://api.spotify.com/v1/tracks/67JIWxk9tn7CR2QUQtveWM,https://api.spotify.com/v1/audio-analysis/67JIWxk9tn7CR2QUQtveWM,187896,5
9,1haknFflCdmfJo7DMfqXa6,Keep the Same Energy,spotify:track:1haknFflCdmfJo7DMfqXa6,Keep the Same Energy,0.6,0.825,7,-5.392,0,0.339,0.0878,0.0,0.0933,0.381,71.493,audio_features,1haknFflCdmfJo7DMfqXa6,spotify:track:1haknFflCdmfJo7DMfqXa6,https://api.spotify.com/v1/tracks/1haknFflCdmfJo7DMfqXa6,https://api.spotify.com/v1/audio-analysis/1haknFflCdmfJo7DMfqXa6,175106,3
10,7nF0TnQV9RIzn1mIlr5qxC,Banana,spotify:track:7nF0TnQV9RIzn1mIlr5qxC,Banana,0.874,0.437,0,-9.748,0,0.149,0.479,0.0016,0.0931,0.694,109.97,audio_features,7nF0TnQV9RIzn1mIlr5qxC,spotify:track:7nF0TnQV9RIzn1mIlr5qxC,https://api.spotify.com/v1/tracks/7nF0TnQV9RIzn1mIlr5qxC,https://api.spotify.com/v1/audio-analysis/7nF0TnQV9RIzn1mIlr5qxC,150869,4
11,6QQb9IsS797WWbHWgsyiQf,Heavy!,spotify:track:6QQb9IsS797WWbHWgsyiQf,Heavy!,0.841,0.718,5,-4.57,0,0.248,0.014,0.0,0.348,0.614,95.012,audio_features,6QQb9IsS797WWbHWgsyiQf,spotify:track:6QQb9IsS797WWbHWgsyiQf,https://api.spotify.com/v1/tracks/6QQb9IsS797WWbHWgsyiQf,https://api.spotify.com/v1/audio-analysis/6QQb9IsS797WWbHWgsyiQf,165535,4
12,3zcWzER3p0LGZtk37wF1qj,Tek It To Dem,spotify:track:3zcWzER3p0LGZtk37wF1qj,Tek It To Dem,0.591,0.619,9,-5.532,0,0.344,0.08,0.0,0.0735,0.678,132.142,audio_features,3zcWzER3p0LGZtk37wF1qj,spotify:track:3zcWzER3p0LGZtk37wF1qj,https://api.spotify.com/v1/tracks/3zcWzER3p0LGZtk37wF1qj,https://api.spotify.com/v1/audio-analysis/3zcWzER3p0LGZtk37wF1qj,199627,5
13,5Ttn93s4gqOG3SwXJuppfa,Rushing,spotify:track:5Ttn93s4gqOG3SwXJuppfa,Rushing,0.525,0.802,5,-4.517,0,0.165,0.247,0.0,0.109,0.554,67.0,audio_features,5Ttn93s4gqOG3SwXJuppfa,spotify:track:5Ttn93s4gqOG3SwXJuppfa,https://api.spotify.com/v1/tracks/5Ttn93s4gqOG3SwXJuppfa,https://api.spotify.com/v1/audio-analysis/5Ttn93s4gqOG3SwXJuppfa,154286,3
14,4UiGBZm8CTOap2W8eorH7k,Try Harder,spotify:track:4UiGBZm8CTOap2W8eorH7k,Try Harder,0.528,0.716,1,-5.335,0,0.175,0.389,0.0,0.0837,0.428,118.734,audio_features,4UiGBZm8CTOap2W8eorH7k,spotify:track:4UiGBZm8CTOap2W8eorH7k,https://api.spotify.com/v1/tracks/4UiGBZm8CTOap2W8eorH7k,https://api.spotify.com/v1/audio-analysis/4UiGBZm8CTOap2W8eorH7k,219130,5
15,7lh0vPEuTgyfPddVWfFbPb,Faker,spotify:track:7lh0vPEuTgyfPddVWfFbPb,Hypnosis Riddim,0.728,0.853,10,-4.831,1,0.303,0.276,0.0,0.194,0.62,99.977,audio_features,7lh0vPEuTgyfPddVWfFbPb,spotify:track:7lh0vPEuTgyfPddVWfFbPb,https://api.spotify.com/v1/tracks/7lh0vPEuTgyfPddVWfFbPb,https://api.spotify.com/v1/audio-analysis/7lh0vPEuTgyfPddVWfFbPb,246779,4
16,2yZ6Re3uijkCNHsH8t7StM,Want This,spotify:track:2yZ6Re3uijkCNHsH8t7StM,Want This,0.685,0.607,8,-7.929,1,0.587,0.16,0.0,0.168,0.28,99.066,audio_features,2yZ6Re3uijkCNHsH8t7StM,spotify:track:2yZ6Re3uijkCNHsH8t7StM,https://api.spotify.com/v1/tracks/2yZ6Re3uijkCNHsH8t7StM,https://api.spotify.com/v1/audio-analysis/2yZ6Re3uijkCNHsH8t7StM,160800,4
