,track_name,track_id,track_uri,artist,album_name,album_id,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Murderer,4Qmbc7KFWkKvxBz5KjcA6g,spotify:track:4Qmbc7KFWkKvxBz5KjcA6g,Barrington Levy,"Original Ragga Muffin, Pt.1",5GT7CLKowdpkKRFaiYXfmN,spotify:album:5GT7CLKowdpkKRFaiYXfmN,0.866,0.548,0,-10.064,1,0.261,0.0785,0.272,0.0794,0.579,142.752,audio_features,4Qmbc7KFWkKvxBz5KjcA6g,spotify:track:4Qmbc7KFWkKvxBz5KjcA6g,https://api.spotify.com/v1/tracks/4Qmbc7KFWkKvxBz5KjcA6g,https://api.spotify.com/v1/audio-analysis/4Qmbc7KFWkKvxBz5KjcA6g,233160,4
1,Here I Come,4abVwdCy5QUcyI3KS2lMJK,spotify:track:4abVwdCy5QUcyI3KS2lMJK,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),55FfXQVWDbB3tEC7L9lvzA,spotify:album:55FfXQVWDbB3tEC7L9lvzA,0.582,0.663,4,-6.547,0,0.0828,0.161,0.0,0.198,0.695,170.82,audio_features,4abVwdCy5QUcyI3KS2lMJK,spotify:track:4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/tracks/4abVwdCy5QUcyI3KS2lMJK,https://api.spotify.com/v1/audio-analysis/4abVwdCy5QUcyI3KS2lMJK,217200,4
2,Black Roses,7a2FaJBUsniyDAOFoopHuM,spotify:track:7a2FaJBUsniyDAOFoopHuM,Barrington Levy,"Original Ragga Muffin, Pt.1",5GT7CLKowdpkKRFaiYXfmN,spotify:album:5GT7CLKowdpkKRFaiYXfmN,0.815,0.521,1,-7.043,1,0.0795,0.0658,0.00435,0.118,0.87,84.985,audio_features,7a2FaJBUsniyDAOFoopHuM,spotify:track:7a2FaJBUsniyDAOFoopHuM,https://api.spotify.com/v1/tracks/7a2FaJBUsniyDAOFoopHuM,https://api.spotify.com/v1/audio-analysis/7a2FaJBUsniyDAOFoopHuM,187600,4
3,The Voices Of Sweet Jamaica - All Star Remix,6ueDnmAamC2RcxY9izQQia,spotify:track:6ueDnmAamC2RcxY9izQQia,Shaggy,The Voices Of Sweet Jamaica,7CZ9pJ8wS1qyal2hnMf2qj,spotify:album:7CZ9pJ8wS1qyal2hnMf2qj,0.669,0.71,10,-3.644,1,0.134,0.034,0.0,0.144,0.908,174.052,audio_features,6ueDnmAamC2RcxY9izQQia,spotify:track:6ueDnmAamC2RcxY9izQQia,https://api.spotify.com/v1/tracks/6ueDnmAamC2RcxY9izQQia,https://api.spotify.com/v1/audio-analysis/6ueDnmAamC2RcxY9izQQia,246364,4
4,Under Me Sensi,2K4opmyBf45LWNP2ucm7Df,spotify:track:2K4opmyBf45LWNP2ucm7Df,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),55FfXQVWDbB3tEC7L9lvzA,spotify:album:55FfXQVWDbB3tEC7L9lvzA,0.688,0.653,0,-6.675,1,0.138,0.0199,0.0,0.199,0.501,75.728,audio_features,2K4opmyBf45LWNP2ucm7Df,spotify:track:2K4opmyBf45LWNP2ucm7Df,https://api.spotify.com/v1/tracks/2K4opmyBf45LWNP2ucm7Df,https://api.spotify.com/v1/audio-analysis/2K4opmyBf45LWNP2ucm7Df,192493,4
5,Too Experienced,1Se858cFyzqNuGhGcOF9qy,spotify:track:1Se858cFyzqNuGhGcOF9qy,Barrington Levy,The Barrington Levy Collection,4SICH0NLMYcu9DRGsruyM2,spotify:album:4SICH0NLMYcu9DRGsruyM2,0.737,0.392,10,-13.351,0,0.138,0.103,0.0,0.208,0.718,175.755,audio_features,1Se858cFyzqNuGhGcOF9qy,spotify:track:1Se858cFyzqNuGhGcOF9qy,https://api.spotify.com/v1/tracks/1Se858cFyzqNuGhGcOF9qy,https://api.spotify.com/v1/audio-analysis/1Se858cFyzqNuGhGcOF9qy,202240,4
6,Pretty in Pink,2wLnz7IP0SV5CYvrPJB2TC,spotify:track:2wLnz7IP0SV5CYvrPJB2TC,Barrington Levy,Pretty in Pink,0A2E8lkS8S56y8cIwnG8EI,spotify:album:0A2E8lkS8S56y8cIwnG8EI,0.699,0.663,3,-3.886,0,0.524,0.25,1.82e-06,0.235,0.774,121.322,audio_features,2wLnz7IP0SV5CYvrPJB2TC,spotify:track:2wLnz7IP0SV5CYvrPJB2TC,https://api.spotify.com/v1/tracks/2wLnz7IP0SV5CYvrPJB2TC,https://api.spotify.com/v1/audio-analysis/2wLnz7IP0SV5CYvrPJB2TC,213566,5
7,Black Roses,18S9oYAd39Y1EkvQM0wKLF,spotify:track:18S9oYAd39Y1EkvQM0wKLF,Barrington Levy,Acousticalevy,1mSLnHUXkTLxyngJuHES7L,spotify:album:1mSLnHUXkTLxyngJuHES7L,0.55,0.323,10,-9.764,0,0.0369,0.529,0.0,0.219,0.586,83.957,audio_features,18S9oYAd39Y1EkvQM0wKLF,spotify:track:18S9oYAd39Y1EkvQM0wKLF,https://api.spotify.com/v1/tracks/18S9oYAd39Y1EkvQM0wKLF,https://api.spotify.com/v1/audio-analysis/18S9oYAd39Y1EkvQM0wKLF,277660,4
8,Under Me Sensi,1IZCYeVjFEBgwbraQg4Gan,spotify:track:1IZCYeVjFEBgwbraQg4Gan,Barrington Levy,Bong Hits,07jKZULDuG6iDEVYASl8Pi,spotify:album:07jKZULDuG6iDEVYASl8Pi,0.864,0.504,1,-10.022,1,0.284,0.0416,0.0,0.0601,0.414,86.961,audio_features,1IZCYeVjFEBgwbraQg4Gan,spotify:track:1IZCYeVjFEBgwbraQg4Gan,https://api.spotify.com/v1/tracks/1IZCYeVjFEBgwbraQg4Gan,https://api.spotify.com/v1/audio-analysis/1IZCYeVjFEBgwbraQg4Gan,270373,4
9,Here I Come - Nu:Tone Remix,3329Yj53EPVYxcfP1ILS19,spotify:track:3329Yj53EPVYxcfP1ILS19,Barrington Levy,Here I Come (Nu:Tone Remix),00WjupPtxgQSvYDcWEsJUf,spotify:album:00WjupPtxgQSvYDcWEsJUf,0.6,0.927,11,-3.61,1,0.0399,0.000906,0.00844,0.153,0.343,87.009,audio_features,3329Yj53EPVYxcfP1ILS19,spotify:track:3329Yj53EPVYxcfP1ILS19,https://api.spotify.com/v1/tracks/3329Yj53EPVYxcfP1ILS19,https://api.spotify.com/v1/audio-analysis/3329Yj53EPVYxcfP1ILS19,322512,4
