,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,5vNKYqDA0jFnhf7KoeBhuD,Jah Jah Know,spotify:track:5vNKYqDA0jFnhf7KoeBhuD,Hebron Gate,0.735,0.493,8,-9.599,1,0.177,0.101,1.2e-05,0.305,0.538,80.72,audio_features,5vNKYqDA0jFnhf7KoeBhuD,spotify:track:5vNKYqDA0jFnhf7KoeBhuD,https://api.spotify.com/v1/tracks/5vNKYqDA0jFnhf7KoeBhuD,https://api.spotify.com/v1/audio-analysis/5vNKYqDA0jFnhf7KoeBhuD,363867,4
1,2M3kpGBrnU6mebuyGGRf9M,Babylon Rule Dem,spotify:track:2M3kpGBrnU6mebuyGGRf9M,Hebron Gate,0.841,0.485,10,-9.427,0,0.0852,0.228,0.000111,0.086,0.565,122.112,audio_features,2M3kpGBrnU6mebuyGGRf9M,spotify:track:2M3kpGBrnU6mebuyGGRf9M,https://api.spotify.com/v1/tracks/2M3kpGBrnU6mebuyGGRf9M,https://api.spotify.com/v1/audio-analysis/2M3kpGBrnU6mebuyGGRf9M,423707,4
2,2hsJhLUWR5au4BXVBNrXzO,Marley,spotify:track:2hsJhLUWR5au4BXVBNrXzO,Dialogue de sourds,0.696,0.62,2,-6.931,1,0.42,0.182,0.0,0.0701,0.646,146.914,audio_features,2hsJhLUWR5au4BXVBNrXzO,spotify:track:2hsJhLUWR5au4BXVBNrXzO,https://api.spotify.com/v1/tracks/2hsJhLUWR5au4BXVBNrXzO,https://api.spotify.com/v1/audio-analysis/2hsJhLUWR5au4BXVBNrXzO,312308,4
3,1mU0Y67gXQ9l7pwUixl7Md,Les champs de roses,spotify:track:1mU0Y67gXQ9l7pwUixl7Md,Dialogue de sourds,0.824,0.534,0,-6.641,1,0.123,0.0691,0.0,0.147,0.655,139.968,audio_features,1mU0Y67gXQ9l7pwUixl7Md,spotify:track:1mU0Y67gXQ9l7pwUixl7Md,https://api.spotify.com/v1/tracks/1mU0Y67gXQ9l7pwUixl7Md,https://api.spotify.com/v1/audio-analysis/1mU0Y67gXQ9l7pwUixl7Md,232200,4
4,2ewJuyk4eWf3G8arju6AvU,You Baby,spotify:track:2ewJuyk4eWf3G8arju6AvU,Press Play,0.861,0.597,0,-5.754,0,0.0673,0.289,0.0,0.101,0.81,124.998,audio_features,2ewJuyk4eWf3G8arju6AvU,spotify:track:2ewJuyk4eWf3G8arju6AvU,https://api.spotify.com/v1/tracks/2ewJuyk4eWf3G8arju6AvU,https://api.spotify.com/v1/audio-analysis/2ewJuyk4eWf3G8arju6AvU,215053,4
5,0ERGzuyTquZmQwOmeZLZpr,Show Me,spotify:track:0ERGzuyTquZmQwOmeZLZpr,Press Play,0.875,0.376,10,-11.342,1,0.0457,0.363,2.68e-05,0.0878,0.91,129.998,audio_features,0ERGzuyTquZmQwOmeZLZpr,spotify:track:0ERGzuyTquZmQwOmeZLZpr,https://api.spotify.com/v1/tracks/0ERGzuyTquZmQwOmeZLZpr,https://api.spotify.com/v1/audio-analysis/0ERGzuyTquZmQwOmeZLZpr,262973,4
6,7wQ9DeZTB7OJ8rnrxeUHSl,If That's Ok,spotify:track:7wQ9DeZTB7OJ8rnrxeUHSl,If That's Ok,0.687,0.491,5,-8.636,1,0.368,0.0816,5.25e-06,0.0901,0.663,169.938,audio_features,7wQ9DeZTB7OJ8rnrxeUHSl,spotify:track:7wQ9DeZTB7OJ8rnrxeUHSl,https://api.spotify.com/v1/tracks/7wQ9DeZTB7OJ8rnrxeUHSl,https://api.spotify.com/v1/audio-analysis/7wQ9DeZTB7OJ8rnrxeUHSl,196197,4
7,102OPCavQ3XebsX5nLyzEi,Nice to See U Trying,spotify:track:102OPCavQ3XebsX5nLyzEi,Nice to See U Trying,0.679,0.517,7,-7.394,1,0.189,0.106,0.0,0.0691,0.702,76.543,audio_features,102OPCavQ3XebsX5nLyzEi,spotify:track:102OPCavQ3XebsX5nLyzEi,https://api.spotify.com/v1/tracks/102OPCavQ3XebsX5nLyzEi,https://api.spotify.com/v1/audio-analysis/102OPCavQ3XebsX5nLyzEi,177512,4
8,3jZD0YRRCAIiAQOrFEDkat,"A Pirate Looks at 40 (feat. Stick Figure, KBong & Johnny Cosmic)",spotify:track:3jZD0YRRCAIiAQOrFEDkat,"A Pirate Looks at 40 (feat. Stick Figure, KBong & Johnny Cosmic)",0.858,0.541,9,-7.36,1,0.0421,0.512,2.75e-05,0.232,0.641,133.91,audio_features,3jZD0YRRCAIiAQOrFEDkat,spotify:track:3jZD0YRRCAIiAQOrFEDkat,https://api.spotify.com/v1/tracks/3jZD0YRRCAIiAQOrFEDkat,https://api.spotify.com/v1/audio-analysis/3jZD0YRRCAIiAQOrFEDkat,250952,4
9,0rfGRC3ng0dxu0xZ3f1bWc,Smiles on Faces (with KBong),spotify:track:0rfGRC3ng0dxu0xZ3f1bWc,Set in Stone,0.491,0.77,4,-7.221,1,0.178,0.0567,0.00135,0.165,0.0847,184.998,audio_features,0rfGRC3ng0dxu0xZ3f1bWc,spotify:track:0rfGRC3ng0dxu0xZ3f1bWc,https://api.spotify.com/v1/tracks/0rfGRC3ng0dxu0xZ3f1bWc,https://api.spotify.com/v1/audio-analysis/0rfGRC3ng0dxu0xZ3f1bWc,256133,4
