,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Last Bloom,Floating Points,Last Bloom,2019-08-28,False,00om2cgsHAwhdbpACwbAke,spotify:track:00om2cgsHAwhdbpACwbAke,0.711,0.646,1,-11.706,1,0.0584,0.197,0.894,0.0845,0.138,135.018,audio_features,00om2cgsHAwhdbpACwbAke,spotify:track:00om2cgsHAwhdbpACwbAke,https://api.spotify.com/v1/tracks/00om2cgsHAwhdbpACwbAke,https://api.spotify.com/v1/audio-analysis/00om2cgsHAwhdbpACwbAke,353680,4
1,DO IT,KAYTRANADA,BUBBA,2019-12-13,False,73IdeGI8Gt1XxcaQ6vBsyD,spotify:track:73IdeGI8Gt1XxcaQ6vBsyD,0.765,0.858,1,-7.232,1,0.0486,0.0141,0.79,0.0934,0.199,111.983,audio_features,73IdeGI8Gt1XxcaQ6vBsyD,spotify:track:73IdeGI8Gt1XxcaQ6vBsyD,https://api.spotify.com/v1/tracks/73IdeGI8Gt1XxcaQ6vBsyD,https://api.spotify.com/v1/audio-analysis/73IdeGI8Gt1XxcaQ6vBsyD,132360,4
2,Yes I Need My Generator,Turnstile,Share A View,2020-01-07,False,4vFicRRBJFCC5UofT5sWAT,spotify:track:4vFicRRBJFCC5UofT5sWAT,0.706,0.702,9,-9.192,0,0.0775,0.0984,0.0169,0.3,0.26,133.994,audio_features,4vFicRRBJFCC5UofT5sWAT,spotify:track:4vFicRRBJFCC5UofT5sWAT,https://api.spotify.com/v1/tracks/4vFicRRBJFCC5UofT5sWAT,https://api.spotify.com/v1/audio-analysis/4vFicRRBJFCC5UofT5sWAT,308060,4
3,Radical,Amtrac,Radical,2020-01-03,False,7Le48y7wfWRq63dRAzVmWF,spotify:track:7Le48y7wfWRq63dRAzVmWF,0.652,0.751,6,-8.327,0,0.0369,0.112,0.592,0.102,0.0399,122.024,audio_features,7Le48y7wfWRq63dRAzVmWF,spotify:track:7Le48y7wfWRq63dRAzVmWF,https://api.spotify.com/v1/tracks/7Le48y7wfWRq63dRAzVmWF,https://api.spotify.com/v1/audio-analysis/7Le48y7wfWRq63dRAzVmWF,237978,4
4,Somewhere (feat. Octavian),The Blaze,Somewhere (feat. Octavian),2020-01-10,False,1Tzq2as6CZlNfwRoYXM5JK,spotify:track:1Tzq2as6CZlNfwRoYXM5JK,0.48,0.417,1,-11.974,1,0.0482,0.273,0.127,0.111,0.0948,129.948,audio_features,1Tzq2as6CZlNfwRoYXM5JK,spotify:track:1Tzq2as6CZlNfwRoYXM5JK,https://api.spotify.com/v1/tracks/1Tzq2as6CZlNfwRoYXM5JK,https://api.spotify.com/v1/audio-analysis/1Tzq2as6CZlNfwRoYXM5JK,215147,4
5,Luminous Spaces - Edit,Jon Hopkins,Luminous Spaces,2019-12-05,False,7nbLUoUimkbWVQqsZ1mkp8,spotify:track:7nbLUoUimkbWVQqsZ1mkp8,0.487,0.564,8,-13.324,1,0.04,0.00389,0.882,0.103,0.0637,123.004,audio_features,7nbLUoUimkbWVQqsZ1mkp8,spotify:track:7nbLUoUimkbWVQqsZ1mkp8,https://api.spotify.com/v1/tracks/7nbLUoUimkbWVQqsZ1mkp8,https://api.spotify.com/v1/audio-analysis/7nbLUoUimkbWVQqsZ1mkp8,280587,4
6,Untold - Alex Banks Remix,RY X,Untold (Alex Banks Remix),2019-12-06,False,1MdgduELl9dV4A0Pj1VbYi,spotify:track:1MdgduELl9dV4A0Pj1VbYi,0.63,0.89,1,-8.992,1,0.0427,0.00865,0.812,0.158,0.238,126.002,audio_features,1MdgduELl9dV4A0Pj1VbYi,spotify:track:1MdgduELl9dV4A0Pj1VbYi,https://api.spotify.com/v1/tracks/1MdgduELl9dV4A0Pj1VbYi,https://api.spotify.com/v1/audio-analysis/1MdgduELl9dV4A0Pj1VbYi,442968,4
7,JPEG,Digitalism,JPEG,2019-12-06,False,7vgiGtKJ0uHroj1iyZwXuH,spotify:track:7vgiGtKJ0uHroj1iyZwXuH,0.4,0.812,1,-6.695,1,0.0562,0.0044,0.744,0.363,0.247,216.087,audio_features,7vgiGtKJ0uHroj1iyZwXuH,spotify:track:7vgiGtKJ0uHroj1iyZwXuH,https://api.spotify.com/v1/tracks/7vgiGtKJ0uHroj1iyZwXuH,https://api.spotify.com/v1/audio-analysis/7vgiGtKJ0uHroj1iyZwXuH,171867,4
8,Rearrange My Mind - Acid Pauli Remix,Monolink,Amniotic (Deluxe Version),2019-12-13,False,0ynNGTnbdxlasLc7yZu2a8,spotify:track:0ynNGTnbdxlasLc7yZu2a8,0.806,0.495,6,-13.226,0,0.0706,0.0559,0.785,0.0932,0.399,123.01,audio_features,0ynNGTnbdxlasLc7yZu2a8,spotify:track:0ynNGTnbdxlasLc7yZu2a8,https://api.spotify.com/v1/tracks/0ynNGTnbdxlasLc7yZu2a8,https://api.spotify.com/v1/audio-analysis/0ynNGTnbdxlasLc7yZu2a8,460720,4
9,Attack,L U C Y,Project Ghost,2019-12-16,False,1Due9XdQ9PAJ4wzBNtWoq2,spotify:track:1Due9XdQ9PAJ4wzBNtWoq2,0.664,0.954,7,-3.326,0,0.159,0.0195,0.816,0.103,0.358,159.959,audio_features,1Due9XdQ9PAJ4wzBNtWoq2,spotify:track:1Due9XdQ9PAJ4wzBNtWoq2,https://api.spotify.com/v1/tracks/1Due9XdQ9PAJ4wzBNtWoq2,https://api.spotify.com/v1/audio-analysis/1Due9XdQ9PAJ4wzBNtWoq2,220000,4
10,Linked,Bonobo,Linked,2019-07-01,False,3rCtueI7qBN2kZBZnXuk5K,spotify:track:3rCtueI7qBN2kZBZnXuk5K,0.713,0.725,6,-9.951,1,0.0385,0.539,0.886,0.111,0.24,122.041,audio_features,3rCtueI7qBN2kZBZnXuk5K,spotify:track:3rCtueI7qBN2kZBZnXuk5K,https://api.spotify.com/v1/tracks/3rCtueI7qBN2kZBZnXuk5K,https://api.spotify.com/v1/audio-analysis/3rCtueI7qBN2kZBZnXuk5K,369462,4
11,Kin,Tourist,Wild,2019-10-18,False,3RID7FNOsH3XqUcEsgpq5v,spotify:track:3RID7FNOsH3XqUcEsgpq5v,0.353,0.727,6,-8.578,0,0.0451,0.395,0.727,0.0926,0.0384,113.002,audio_features,3RID7FNOsH3XqUcEsgpq5v,spotify:track:3RID7FNOsH3XqUcEsgpq5v,https://api.spotify.com/v1/tracks/3RID7FNOsH3XqUcEsgpq5v,https://api.spotify.com/v1/audio-analysis/3RID7FNOsH3XqUcEsgpq5v,324267,3
12,Stress,Tycho,Stress,2019-12-12,False,4Go20ayHDOV10znMoy3Xy6,spotify:track:4Go20ayHDOV10znMoy3Xy6,0.476,0.56,3,-11.969,1,0.0311,0.444,0.915,0.0881,0.239,166.021,audio_features,4Go20ayHDOV10znMoy3Xy6,spotify:track:4Go20ayHDOV10znMoy3Xy6,https://api.spotify.com/v1/tracks/4Go20ayHDOV10znMoy3Xy6,https://api.spotify.com/v1/audio-analysis/4Go20ayHDOV10znMoy3Xy6,305299,4
13,Shades of You,Moses Boyd,Shades of You,2020-01-08,False,2OtnmFipsJgxUPkwnMP11I,spotify:track:2OtnmFipsJgxUPkwnMP11I,0.656,0.956,0,-6.338,0,0.104,0.0812,0.00759,0.249,0.727,126.992,audio_features,2OtnmFipsJgxUPkwnMP11I,spotify:track:2OtnmFipsJgxUPkwnMP11I,https://api.spotify.com/v1/tracks/2OtnmFipsJgxUPkwnMP11I,https://api.spotify.com/v1/audio-analysis/2OtnmFipsJgxUPkwnMP11I,260122,4
14,Versailles (Hold) - Edit,Christian Löffler,Versailles (Hold),2019-12-06,False,4Yf9QLUM8EeHaCS7EnaHnX,spotify:track:4Yf9QLUM8EeHaCS7EnaHnX,0.425,0.375,0,-13.693,0,0.0353,0.467,0.525,0.133,0.179,116.991,audio_features,4Yf9QLUM8EeHaCS7EnaHnX,spotify:track:4Yf9QLUM8EeHaCS7EnaHnX,https://api.spotify.com/v1/tracks/4Yf9QLUM8EeHaCS7EnaHnX,https://api.spotify.com/v1/audio-analysis/4Yf9QLUM8EeHaCS7EnaHnX,218727,4
15,Le Tigre,Overmono,POLY011,2019-11-01,False,6cAs4CHN3J1lR2DYeY0q2y,spotify:track:6cAs4CHN3J1lR2DYeY0q2y,0.726,0.857,10,-7.427,0,0.054,0.00619,0.804,0.138,0.142,139.005,audio_features,6cAs4CHN3J1lR2DYeY0q2y,spotify:track:6cAs4CHN3J1lR2DYeY0q2y,https://api.spotify.com/v1/tracks/6cAs4CHN3J1lR2DYeY0q2y,https://api.spotify.com/v1/audio-analysis/6cAs4CHN3J1lR2DYeY0q2y,370791,4
16,A Palé - Gesaffelstein Remix,Gesaffelstein,A Palé (Gesaffelstein Remix),2019-11-01,False,3oAG0POhkYYkL7XVQpeMFa,spotify:track:3oAG0POhkYYkL7XVQpeMFa,0.78,0.488,1,-9.198,1,0.0909,0.0111,0.348,0.0806,0.0657,123.001,audio_features,3oAG0POhkYYkL7XVQpeMFa,spotify:track:3oAG0POhkYYkL7XVQpeMFa,https://api.spotify.com/v1/tracks/3oAG0POhkYYkL7XVQpeMFa,https://api.spotify.com/v1/audio-analysis/3oAG0POhkYYkL7XVQpeMFa,204320,4
17,Masseduction - Midland's Mass Seduction Remix,St. Vincent,Nina Kraviz Presents MASSEDUCTION Rewired,2019-04-12,False,2FVhl9bRaPjAi8C4bKTQdU,spotify:track:2FVhl9bRaPjAi8C4bKTQdU,0.785,0.48,7,-15.297,1,0.131,0.0509,0.781,0.0456,0.427,120.009,audio_features,2FVhl9bRaPjAi8C4bKTQdU,spotify:track:2FVhl9bRaPjAi8C4bKTQdU,https://api.spotify.com/v1/tracks/2FVhl9bRaPjAi8C4bKTQdU,https://api.spotify.com/v1/audio-analysis/2FVhl9bRaPjAi8C4bKTQdU,447759,4
18,Please Slow Down,DJ Seinfeld,Parallax EP,2019-10-11,False,2kOCDaHjAcqCDKTGsdlOsV,spotify:track:2kOCDaHjAcqCDKTGsdlOsV,0.605,0.875,2,-9.196,1,0.048,0.257,0.7,0.039,0.666,127.956,audio_features,2kOCDaHjAcqCDKTGsdlOsV,spotify:track:2kOCDaHjAcqCDKTGsdlOsV,https://api.spotify.com/v1/tracks/2kOCDaHjAcqCDKTGsdlOsV,https://api.spotify.com/v1/audio-analysis/2kOCDaHjAcqCDKTGsdlOsV,262045,4
