,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
0,0,Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,False,6WrI0LAC5M1Rw2MnX2ZvEg,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.7929999999999999,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,183290,4
1,1,Before You Go,Lewis Capaldi,Before You Go,2019-11-19,False,7ce20yLkzuXXLUhzIDoZih,spotify:track:7ce20yLkzuXXLUhzIDoZih,0.45899999999999996,0.575,3,-4.8580000000000005,1,0.0573,0.604,0.0,0.0885,0.183,111.881,audio_features,215107,4
2,2,Lose Control,MEDUZA,Lose Control,2019-10-11,False,7CHi4DtfK4heMlQaudCuHK,spotify:track:7CHi4DtfK4heMlQaudCuHK,0.598,0.526,10,-8.658999999999999,0,0.0415,0.129,0.0,0.14,0.529,123.935,audio_features,168387,4
3,3,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Own It (feat. Ed Sheeran & Burna Boy),2019-11-22,False,07s9NNOT0sZQp7TyolLLgu,spotify:track:07s9NNOT0sZQp7TyolLLgu,0.8170000000000001,0.7809999999999999,7,-4.178,0,0.11199999999999999,0.00838,5.21e-06,0.12300000000000001,0.359,104.0,audio_features,216707,4
4,4,Yummy,Justin Bieber,Yummy,2020-01-03,False,41L3O37CECZt3N7ziG2z7l,spotify:track:41L3O37CECZt3N7ziG2z7l,0.662,0.519,9,-6.553999999999999,0,0.106,0.40399999999999997,0.0,0.121,0.495,145.841,audio_features,210427,4
5,5,This Is Real (ft. Ella Henderson),Jax Jones,Snacks (Supersize),2019-09-06,False,1pRShUtGOG6ZP5fsnw9G4h,spotify:track:1pRShUtGOG6ZP5fsnw9G4h,0.684,0.8190000000000001,6,-5.072,1,0.0413,0.0259,0.0775,0.0985,0.607,122.008,audio_features,199160,4
6,6,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,True,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.6160000000000005,0,0.14800000000000002,0.0522,0.0,0.46,0.457,116.735,audio_features,163636,5
7,7,Adore You,Harry Styles,Adore You,2019-12-06,False,1M4qEo4HE3PRaCOM7EXNJq,spotify:track:1M4qEo4HE3PRaCOM7EXNJq,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99.04799999999999,audio_features,207133,4
8,8,My Oh My (feat. DaBaby),Camila Cabello,Romance,2019-12-06,False,3yOlyBJuViE2YSGn3nVE1K,spotify:track:3yOlyBJuViE2YSGn3nVE1K,0.7240000000000001,0.491,8,-6.024,1,0.0296,0.018000000000000002,1.29e-05,0.0887,0.38299999999999995,105.046,audio_features,170746,4
9,9,Ride It,Regard,Ride It,2019-07-26,False,2tnVG71enUj33Ic2nFN6kZ,spotify:track:2tnVG71enUj33Ic2nFN6kZ,0.88,0.7509999999999999,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,audio_features,157606,4
10,10,Dance Monkey,Tones and I,Dance Monkey,2019-05-10,False,421leiR6jKlH5KDdwLYrOs,spotify:track:421leiR6jKlH5KDdwLYrOs,0.8240000000000001,0.5920000000000001,6,-6.4,0,0.0969,0.693,0.00015800000000000002,0.17800000000000002,0.54,98.074,audio_features,209755,4
11,11,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2019-10-04,False,3cphb8kdsjElYR7r5icK3H,spotify:track:3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.03399999999999,audio_features,158805,4
12,12,Turn Me On (feat. Vula),Riton,Turn Me On (feat. Vula),2019-09-13,False,0qaWEvPkts34WF68r8Dzx9,spotify:track:0qaWEvPkts34WF68r8Dzx9,0.737,0.828,11,-4.711,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,audio_features,208474,4
13,13,Heartless,The Weeknd,Heartless,2019-11-27,True,57vxBYXtHMk6H1aD29V7PU,spotify:track:57vxBYXtHMk6H1aD29V7PU,0.531,0.75,10,-5.831,0,0.111,0.00632,7.6e-05,0.11699999999999999,0.198,169.954,audio_features,200080,4
14,14,everything i wanted,Billie Eilish,everything i wanted,2019-11-13,False,3ZCTVFBt2Brf31RLEnCkWJ,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,0.7040000000000001,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,audio_features,245426,4
15,15,Lose You To Love Me,Selena Gomez,Lose You To Love Me,2019-10-23,False,1HfMVBKM75vxSfsQ5VefZ5,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,0.505,0.34,4,-9.005,1,0.0438,0.5760000000000001,0.0,0.21,0.0916,101.993,audio_features,206459,4
16,16,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,No.6 Collaborations Project,2019-07-12,False,4vUmTMuQqjdnvlZmAH61Qk,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0824,0.14800000000000002,0.0,0.0865,0.6679999999999999,97.986,audio_features,204467,4
