,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
00P2FrG46TtBIhUBju0tqR,Slavery Days,Tiken Jah Fakoly,Racines,2015-09-25,False,00P2FrG46TtBIhUBju0tqR,spotify:track:00P2FrG46TtBIhUBju0tqR,0.507,0.446,7,-7.337,1,0.0587,0.0999,2.54e-05,0.106,0.285,141.647,audio_features,00P2FrG46TtBIhUBju0tqR,spotify:track:00P2FrG46TtBIhUBju0tqR,https://api.spotify.com/v1/tracks/00P2FrG46TtBIhUBju0tqR,https://api.spotify.com/v1/audio-analysis/00P2FrG46TtBIhUBju0tqR,249787,4,reggae
011xoKDagylY12ofOd3qUX,Mixed Feelings,Anuhea,Follow Me,2017-10-06,False,011xoKDagylY12ofOd3qUX,spotify:track:011xoKDagylY12ofOd3qUX,0.722,0.681,10,-4.419,1,0.033,0.205,0.0,0.0501,0.965,138.008,audio_features,011xoKDagylY12ofOd3qUX,spotify:track:011xoKDagylY12ofOd3qUX,https://api.spotify.com/v1/tracks/011xoKDagylY12ofOd3qUX,https://api.spotify.com/v1/audio-analysis/011xoKDagylY12ofOd3qUX,203413,4,reggae
01N1T689bhEHqXWs3ZMZcO,Good Vibration (feat. Trevor Hall),HIRIE,Wandering Soul,2016-08-26,False,01N1T689bhEHqXWs3ZMZcO,spotify:track:01N1T689bhEHqXWs3ZMZcO,0.602,0.661,8,-8.615,1,0.0631,0.47,0.00393,0.146,0.341,117.884,audio_features,01N1T689bhEHqXWs3ZMZcO,spotify:track:01N1T689bhEHqXWs3ZMZcO,https://api.spotify.com/v1/tracks/01N1T689bhEHqXWs3ZMZcO,https://api.spotify.com/v1/audio-analysis/01N1T689bhEHqXWs3ZMZcO,259133,4,reggae
01rxaavCYWlFIHJJdF4PTT,Special Guest,Anthony Rich,"Pure Lovers, Vol. 2",2009-06-01,False,01rxaavCYWlFIHJJdF4PTT,spotify:track:01rxaavCYWlFIHJJdF4PTT,0.833,0.309,7,-10.4,1,0.105,0.0987,8.83e-06,0.0819,0.927,87.047,audio_features,01rxaavCYWlFIHJJdF4PTT,spotify:track:01rxaavCYWlFIHJJdF4PTT,https://api.spotify.com/v1/tracks/01rxaavCYWlFIHJJdF4PTT,https://api.spotify.com/v1/audio-analysis/01rxaavCYWlFIHJJdF4PTT,234867,4,reggae
02O3f5M4FkBUslfjYDCOkE,Jah Jah Ah Natty Dread,Lee Perry & The Upsetters,Return Of The Super Ape,2003,False,02O3f5M4FkBUslfjYDCOkE,spotify:track:02O3f5M4FkBUslfjYDCOkE,0.621,0.664,9,-5.609,0,0.0734,0.114,0.0,0.124,0.48,132.22,audio_features,02O3f5M4FkBUslfjYDCOkE,spotify:track:02O3f5M4FkBUslfjYDCOkE,https://api.spotify.com/v1/tracks/02O3f5M4FkBUslfjYDCOkE,https://api.spotify.com/v1/audio-analysis/02O3f5M4FkBUslfjYDCOkE,214297,4,reggae
02qdhYxmkK76YPPswkx299,Running Away,Bob Marley & The Wailers,Kaya,1978,False,02qdhYxmkK76YPPswkx299,spotify:track:02qdhYxmkK76YPPswkx299,0.814,0.358,8,-10.638,1,0.133,0.115,0.0,0.103,0.446,118.916,audio_features,02qdhYxmkK76YPPswkx299,spotify:track:02qdhYxmkK76YPPswkx299,https://api.spotify.com/v1/tracks/02qdhYxmkK76YPPswkx299,https://api.spotify.com/v1/audio-analysis/02qdhYxmkK76YPPswkx299,255533,4,reggae
032Ltnpl5rUJuGPdqCfqDJ,"Stop, Look, Listen",Barry Biggs,Reggae Max: Barry Biggs,2007-01-01,False,032Ltnpl5rUJuGPdqCfqDJ,spotify:track:032Ltnpl5rUJuGPdqCfqDJ,0.72,0.72,8,-6.347,1,0.148,0.242,1.67e-05,0.133,0.644,86.79,audio_features,032Ltnpl5rUJuGPdqCfqDJ,spotify:track:032Ltnpl5rUJuGPdqCfqDJ,https://api.spotify.com/v1/tracks/032Ltnpl5rUJuGPdqCfqDJ,https://api.spotify.com/v1/audio-analysis/032Ltnpl5rUJuGPdqCfqDJ,180947,4,reggae
03N38R6CsIGoSS8iQq88nE,It's Not Easy,Barrington Levy,Bounty Hunter Wanted 1979,2015-11-13,False,03N38R6CsIGoSS8iQq88nE,spotify:track:03N38R6CsIGoSS8iQq88nE,0.788,0.417,3,-13.009,0,0.0794,6.22e-05,0.000317,0.137,0.558,136.434,audio_features,03N38R6CsIGoSS8iQq88nE,spotify:track:03N38R6CsIGoSS8iQq88nE,https://api.spotify.com/v1/tracks/03N38R6CsIGoSS8iQq88nE,https://api.spotify.com/v1/audio-analysis/03N38R6CsIGoSS8iQq88nE,208467,4,reggae
04PydaEH97XN7YohGteKpK,The Way You Do The Things You Do,UB40,Labour Of Love II,1989-01-01,False,04PydaEH97XN7YohGteKpK,spotify:track:04PydaEH97XN7YohGteKpK,0.88,0.367,5,-15.487,0,0.316,0.263,7.06e-05,0.0294,0.92,80.866,audio_features,04PydaEH97XN7YohGteKpK,spotify:track:04PydaEH97XN7YohGteKpK,https://api.spotify.com/v1/tracks/04PydaEH97XN7YohGteKpK,https://api.spotify.com/v1/audio-analysis/04PydaEH97XN7YohGteKpK,182533,4,reggae
04k8gqIcdqd2cJsLSXEhlk,I Shot The Sheriff,The Wailers,Les 50 Plus Belles Chansons,2007-01-01,False,04k8gqIcdqd2cJsLSXEhlk,spotify:track:04k8gqIcdqd2cJsLSXEhlk,0.796,0.534,8,-13.058,1,0.207,0.326,5.83e-05,0.0865,0.708,96.916,audio_features,04k8gqIcdqd2cJsLSXEhlk,spotify:track:04k8gqIcdqd2cJsLSXEhlk,https://api.spotify.com/v1/tracks/04k8gqIcdqd2cJsLSXEhlk,https://api.spotify.com/v1/audio-analysis/04k8gqIcdqd2cJsLSXEhlk,280853,4,reggae
