,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
00A8hsKelAI5N7bmcbvn9v,1119,So Long,Nadia Batson,Get Soca 2019,2019-02-22,False,00A8hsKelAI5N7bmcbvn9v,spotify:track:00A8hsKelAI5N7bmcbvn9v,soca,0.859,0.93,6.0,-3.794,1.0,0.103,0.155,1.05e-06,0.116,0.962,105.964,audio_features,00A8hsKelAI5N7bmcbvn9v,spotify:track:00A8hsKelAI5N7bmcbvn9v,https://api.spotify.com/v1/tracks/00A8hsKelAI5N7bmcbvn9v,https://api.spotify.com/v1/audio-analysis/00A8hsKelAI5N7bmcbvn9v,183541.0,4.0
00BBC45AUahDMdYaJ6wjxp,797,Mash Up,Destra,Queen of Bacchanal,2014-04-08,False,00BBC45AUahDMdYaJ6wjxp,spotify:track:00BBC45AUahDMdYaJ6wjxp,soca,0.768,0.942,8.0,-3.153,1.0,0.169,0.247,0.0,0.0616,0.905,159.986,audio_features,00BBC45AUahDMdYaJ6wjxp,spotify:track:00BBC45AUahDMdYaJ6wjxp,https://api.spotify.com/v1/tracks/00BBC45AUahDMdYaJ6wjxp,https://api.spotify.com/v1/audio-analysis/00BBC45AUahDMdYaJ6wjxp,193106.0,4.0
00v3qhEMB8Z8D5PU2LpDFK,832,Toc Tic,Marzville,Force It Riddim,2016-12-16,False,00v3qhEMB8Z8D5PU2LpDFK,spotify:track:00v3qhEMB8Z8D5PU2LpDFK,soca,0.891,0.858,2.0,-4.668,1.0,0.159,0.121,0.00631,0.0562,0.766,146.949,audio_features,00v3qhEMB8Z8D5PU2LpDFK,spotify:track:00v3qhEMB8Z8D5PU2LpDFK,https://api.spotify.com/v1/tracks/00v3qhEMB8Z8D5PU2LpDFK,https://api.spotify.com/v1/audio-analysis/00v3qhEMB8Z8D5PU2LpDFK,122000.0,4.0
01NRErhQZIau5ebhdXMhGs,1088,Dom Pérignon,Aidonia,Dom Pérignon,2018-12-20,True,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,soca,0.8,0.848,1.0,-6.937,1.0,0.23,0.222,0.0,0.257,0.537,105.075,audio_features,01NRErhQZIau5ebhdXMhGs,spotify:track:01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/tracks/01NRErhQZIau5ebhdXMhGs,https://api.spotify.com/v1/audio-analysis/01NRErhQZIau5ebhdXMhGs,141714.0,4.0
01NjsQ8VVcaPNZPIfzhhb1,1504,X Games - Acoustic Intro,DJ Private Ryan,The Fizzle Project,2019-12-02,False,01NjsQ8VVcaPNZPIfzhhb1,spotify:track:01NjsQ8VVcaPNZPIfzhhb1,soca,0.768,0.824,5.0,-4.254,0.0,0.068,0.159,0.0,0.145,0.361,106.052,audio_features,01NjsQ8VVcaPNZPIfzhhb1,spotify:track:01NjsQ8VVcaPNZPIfzhhb1,https://api.spotify.com/v1/tracks/01NjsQ8VVcaPNZPIfzhhb1,https://api.spotify.com/v1/audio-analysis/01NjsQ8VVcaPNZPIfzhhb1,174008.0,4.0
01Pn5QcX8QBWBtEfX2w801,303,Toy,Inspector,The Controversy Riddim - EP,2019-06-17,False,01Pn5QcX8QBWBtEfX2w801,spotify:track:01Pn5QcX8QBWBtEfX2w801,soca,0.751,0.786,10.0,-4.529,1.0,0.136,0.118,0.055,0.107,0.141,159.907,audio_features,01Pn5QcX8QBWBtEfX2w801,spotify:track:01Pn5QcX8QBWBtEfX2w801,https://api.spotify.com/v1/tracks/01Pn5QcX8QBWBtEfX2w801,https://api.spotify.com/v1/audio-analysis/01Pn5QcX8QBWBtEfX2w801,164727.0,4.0
01Q908ktVnnwLxw88EQXs0,1576,Magician (I Command You),Burning Flames,Billboard Soca III: Strictly The Hits,2000-01-01,False,01Q908ktVnnwLxw88EQXs0,spotify:track:01Q908ktVnnwLxw88EQXs0,soca,0.827,0.9,7.0,-7.065,1.0,0.094,0.134,0.0,0.35,0.915,147.989,audio_features,01Q908ktVnnwLxw88EQXs0,spotify:track:01Q908ktVnnwLxw88EQXs0,https://api.spotify.com/v1/tracks/01Q908ktVnnwLxw88EQXs0,https://api.spotify.com/v1/audio-analysis/01Q908ktVnnwLxw88EQXs0,305293.0,4.0
01ha8YwTnbXj73u21WLl3N,263,Power In Soca (Dyy Zess),Trinidad Killa,Sugar Apple Riddim,2019-11-27,False,01ha8YwTnbXj73u21WLl3N,spotify:track:01ha8YwTnbXj73u21WLl3N,soca,0.377,0.822,6.0,-6.101,1.0,0.245,0.398,0.0,0.879,0.85,191.575,audio_features,01ha8YwTnbXj73u21WLl3N,spotify:track:01ha8YwTnbXj73u21WLl3N,https://api.spotify.com/v1/tracks/01ha8YwTnbXj73u21WLl3N,https://api.spotify.com/v1/audio-analysis/01ha8YwTnbXj73u21WLl3N,152752.0,3.0
01wRcAPcvjkHqEIm73JRia,209,Leave (Kite Sa),Teddyson John,Leave (Kite Sa),2019-05-28,False,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,soca,0.84,0.932,10.0,-3.219,0.0,0.0593,0.0252,2.92e-05,0.0491,0.932,110.034,audio_features,01wRcAPcvjkHqEIm73JRia,spotify:track:01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/tracks/01wRcAPcvjkHqEIm73JRia,https://api.spotify.com/v1/audio-analysis/01wRcAPcvjkHqEIm73JRia,262500.0,4.0
02XBRw05pItXLGCTT8o7w5,1325,1995,Bunji Garlin,Turn Up,2017-09-01,False,02XBRw05pItXLGCTT8o7w5,spotify:track:02XBRw05pItXLGCTT8o7w5,soca,0.709,0.963,11.0,-3.434,1.0,0.0791,0.0254,0.0,0.131,0.936,139.953,audio_features,02XBRw05pItXLGCTT8o7w5,spotify:track:02XBRw05pItXLGCTT8o7w5,https://api.spotify.com/v1/tracks/02XBRw05pItXLGCTT8o7w5,https://api.spotify.com/v1/audio-analysis/02XBRw05pItXLGCTT8o7w5,229093.0,4.0
